1일 1로그 100일 완성 IT 지식,2021년,"['컴퓨터/IT', '자기계발', '취업/수험서']","['파이썬', '인공지능', '데이터', '프로세서', '통신', '자바 스크립트']"
"로봇 시대, 인간의 일",2020년,"['인문', '정치/사회']","['무인 자동차', '미래전망', '입찰가', '디지털리터러시', '낙찰', '앤디 워홀']"
모두 거짓말을 한다,2022년,"['경제/경영', '컴퓨터/IT']",[]
디지털독해가 문해력이다 4단계,2022년,"['초등참고서', '초등참고서']","['인성', '학습 효과', '성취 기준', '단계', '확인 문제', '필수 능력']"
인스타 브레인,2020년,"['인문', '과학']","['인문교양서', '뇌과학', '건강서', '수렵 채집', '안전 수칙', '운동']"
웹3.0 넥스트 이코노미,2022년,['경제/경영'],[]
디지털 헬스케어 전쟁,2021년,['기술/공학'],"['전쟁', '원장', '과학 기술', '요양 병원', '격상', '카네이션']"
달러는 왜 비트코인을 싫어하는가,2018년,['경제/경영'],"['비잔티움', '건전', '디지털화폐', '운영 방식', '중앙은행', '금융 위기']"
디지털 대전환 시대의 전략경영 혁신,2022년,['경제/경영'],"['경영 전략', '비즈니스', '전략 수립', '플랫폼', '디지털 기술', '혁신']"
B2B 마케팅으로 밥 먹고 살기,2022년,"['컴퓨터/IT', '경제/경영', '경제/경영']",[]
의대에 가고 싶어졌습니다,2022년,"['청소년', '자기계발', '중/고등참고서', '청소년']","['의사', '본과', '학생 부종 합전', '악명', '선배', '대학 병원']"
다이나믹 드로잉,2019년,['예술/대중문화'],"['일러스트', '스케치']"
디지털독해가 문해력이다 3단계,2022년,"['초등참고서', '초등참고서']","['인성', '학습 효과', '성취 기준', '단계', '확인 문제', '필수 능력']"
Digital Entrepreneurship,2022년,['경제/경영'],[]
온라인의 우리 아이들,2022년,"['인문', '정치/사회']",[]
친절한 컬러링,2017년,"['예술/대중문화', '예술/대중문화']","['채색', '포토샵', '골렘', '튜토리얼', '원리 이해', '페인팅']"
디지털독해가 문해력이다 7단계,2022년,"['중/고등참고서', '중/고등참고서']","['인성', '학습 효과', '중학', '성취 기준', '단계', '확인 문제']"
공간 드로잉: 투시편,2019년,"['예술/대중문화', '만화']","['컬러링', '채색', '일러스트', '광각', '드로잉', '소실점']"
"디지털, 잠시 멈춤",2021년,['자기계발'],"['디스', '스마트폰 사용', '실리콘밸리', '게이츠', '디지털 기기', '스마트 기기']"
로봇은 교사를 대체할 것인가?,2022년,['인문'],"['인공지능', '미래 교육', '자동', '윤리', '교육용', '딜레마']"
나의 빛을 가리지 말라,2022년,"['정치/사회', '인문']",[]
"사냥꾼, 목동, 비평가",2020년,['인문'],"['유토피아', '교양철학', '디지털 경제', '의지', '디지털 사회', '숙명론']"
"다시, 책으로",2019년,['인문'],"['디지털 세계', '독서가', '디지털 매체', '책읽기', '디지털 기기', '접속']"
DX 코드,2020년,"['경제/경영', '경제/경영']","['넷플릭스', '경영혁신', '디즈니', '디지털트랜스포메이션', '스트리밍', '포메이션']"
패션 아이템 도감,2020년,"['예술/대중문화', '예술/대중문화']","['패션', '도감', '이미지', '검색', '매치', '전문 용어']"
디지털 일러스트 캐릭터 채색 최강 사전,2022년,"['예술/대중문화', '만화']",[]
